Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,tweets,mentions,pro,group
@deLIBERnATION,,,474,1,1,1,0,1,0,0,anti
@DELICIOUSKEK,,,1926,9,0.220989,0.240168,0,,,,
@Rowaida_Abdel,,,1926,0,0,0,0,,,,
@wasp_nest,,,1926,8,0.282383,0.319626,436,,,,
@delicountessa,,,3370,8,0.286718,0.324886,0,1,0,3,unclear/neutral
@delightful76,,,1927,8,0.282383,0.319626,0,,,,
@DeliliaOMalley,,,1899,8,0.282383,0.319626,0,,,,
@DelintheUSA,,,1928,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@DellaGates_1237,,,3608,8,0.282848,0.321183,1,1,0,1,anti
@ericgobucks,,,3608,0,0,0,0,0,1,,
@delmoi,,,49,1,1,1,1,,,,
@Delores275,,,1929,8,0.282383,0.319626,0,,,,
@Delosmilagros2,,,474,8,0.283775,0.323517,0,,,,
@DelrayAvener,,,1426,8,0.284439,0.323858,0,,,,
@DelrayDiva,,,73,1,1,1,0,1,0,1,anti
@delsmithmusic,,,474,8,0.284326,0.326174,0,1,0,3,unclear/neutral
@DeltaHalo007,,,96,8,0.284416,0.326348,0,,,,
@homedogsyonkers,,,96,8,0.282383,0.319626,0,1,0,5,pro
@sacarest,,,96,0,0,0,0,,,,
@DelusionaryPhD,,,96,8,0.288277,0.331349,122.5,2,1,2.5,anti
@DelvinMoody,,,1930,8,0.294197,0.332432,0,,,,
@demandchangenow,,,1931,8,0.282566,0.320773,0,,,,
@demarle_john,,,174,8,0.283312,0.322733,0,,,,
@demassie2,,,1932,1,1,1,0,1,0,1,anti
@DemeCollins,,,1933,9,0.246328,0.270269,0,,,,
@deming_michael,,,1934,8,0.282383,0.319626,0,,,,
@DemiWuflower,,,133,8,0.284333,0.324317,2,1,1,5,pro
@MichaelDelauzon,,,49,8,0.282848,0.321183,4,,,,
@DemocRabbit,,,1935,8,0.282566,0.320773,0,,,,
@democracy4utoo,,,2687,9,0.25644,0.288644,0,1,0,3,unclear/neutral
@CNNPolitics,,,133,0,0,0,0,,,,
@PaulCallan,,,2687,0,0,0,0,,,,
@sjredmond,,,2687,0,0,0,0,0,1,,
@demon_dave,,,73,9,0.22968,0.251888,0,,,,
@parallelsaf,,,73,0,0,0,0,,,,
@demonscooterg,,,474,1,1,1,0,,,,
@Leftfinished,,,2687,8,0.290992,0.340068,0.25,2,2,1.5,anti
@ProgDadTV,,,2687,0,0,0,0,0,2,,
@den0076,,,4323,8,0.293801,0.335185,0,,,,
@freenc2018,,,133,0,0,0,0,,,,
@kaslina,,,133,0,0,0,0,,,,
@markleoquin,,,133,0,0,0,0,,,,
@scandallk,,,96,11,0.238217,0.297421,0,1,1,1,anti
@dena_lecave,,,73,8,0.284884,0.326018,0,,,,
@Denaahii,,,1936,8,0.282383,0.319626,0,1,0,0,anti
@denali1223,,,1937,8,0.282383,0.319626,0,,,,
@DenbrotS,,,6159,1,1,1,0,,,,
@BryanDawsonUSA,,,6159,0,0,0,0,,,,
@DeneaRandeen,,,133,8,0.282383,0.319626,436,0,1,,
@denibaker1971,,,1938,8,0.282383,0.319626,0,,,,
@DenimBlueBiz,,,54,1,1,1,0,,,,
@DenisDvezine,,,1950,1,1,1,0,,,,
@denise__andres,,,1939,8,0.282383,0.319626,0,,,,
@denise_olej,,,1940,2,0.666667,0.75,0,,,,
@Shareblue,,,1940,1,1,1,3,,,,
@Denise47464118,,,1941,8,0.282383,0.319626,0,,,,
@Denise4MAGA,,,1942,8,0.282383,0.319626,0,,,,
@DeniseBethune2,,,4323,8,0.286741,0.330502,0,,,,
@denisec11861155,,,1426,8,0.283312,0.322733,0,,,,
@DeniseJacob17,,,1943,8,0.282383,0.319626,0,,,,
@DeniseRapp1,,,3608,8,0.290615,0.33502,0,,,,
@Blake_View,,,3608,0,0,0,0,,,,
@denisetru89,,,1944,8,0.283129,0.321592,0,,,,
@ModCons3rvative,,,1944,8,0.283031,0.322328,1.5,,,,
@DenisNelson5,,,73,9,0.228512,0.248724,0,,,,
@DenMcH,,,1945,1,1,1,0,,,,
@thelancearthur,,,1945,0,0,0,0,,,,
@denninsk,,,5314,8,0.297943,0.338397,0,,,,
@DennisG58878004,,,1426,8,0.284333,0.324317,0,,,,
@Bevsjoy1,,,1426,0,0,0,0,,,,
@DennisHouseTV,,,1946,1,1,1,0,,,,
@wfsbnews,,,1946,0,0,0,0,,,,
@DennisLarkin,,,3370,1,1,1,0,1,0,1,anti
@DennisLittle19,,,1947,8,0.282383,0.319626,0,,,,
@dennislori1,,,1948,8,0.282383,0.319626,0,,,,
@DennisMJordan,,,49,2,0.6,0.666667,0,,,,
@MattWalshBlog,,,49,1,1,1,224.616667,0,2,,
@DenpaCodec,,,1949,1,1,1,0,,,,
@NewSovietPoster,,,1949,0,0,0,0,,,,
@Dentheluck,,,1950,2,0.8,0.875,0,,,,
@KarimAvecM,,,1950,2,0.8,0.875,0,,,,
@LP_LaPresse,,,1950,0,0,0,0,,,,
@dentster1,,,1899,8,0.282848,0.321183,0,1,0,1,anti
@denverdoug2,,,73,9,0.228512,0.248724,0,1,0,0,anti
@denvernight,,,3608,8,0.303425,0.344875,480.285714,0,1,,
@lucky88duck,,,3608,0,0,0,0,,,,
@DeonGriffin93,,,1951,8,0.282383,0.319626,0,,,,
@DeplorablDamsel,,,1952,8,0.282383,0.319626,0,,,,
@Deplorable_Lara,,,4323,8,0.284785,0.325321,0,,,,
@MaxknOws2012,,,4323,0,0,0,0,,,,
@Palle_Hoffstein,,,4323,0,0,0,0,,,,
@Deplorable1st,,,1953,8,0.282383,0.319626,0,,,,
@deplorable2015,,,3608,9,0.229047,0.250251,0,,,,
@DeplorableIAm1,,,345,9,0.254218,0.278935,0,,,,
@deplorablejam,,,2651,9,0.2255,0.255344,0,,,,
@HankMullaney,,,2651,0,0,0,0,,,,
@RamboRando1,,,2651,0,0,0,0,,,,
@SemperMAGA,,,2651,9,0.224787,0.253334,2.333333,,,,
@DeplorableJuJuV,,,4039,9,0.243864,0.27314,43.166667,0,1,,
@Rmhenry1Henry,,,4039,0,0,0,0,,,,
@DeplorableKat,,,345,8,0.28275,0.321156,0,,,,
@deplorableMe111,,,174,8,0.283312,0.322733,0,,,,
@DeplorablePiet,,,345,8,0.283215,0.322709,0,1,0,1,anti
@getongab,,,345,0,0,0,0,0,1,,
@Deplorabletexa4,,,1954,1,1,1,0,,,,
@depressedgeico,,,4323,8,0.294378,0.337482,0,1,0,3,unclear/neutral
@alwaysaliberal,,,4323,0,0,0,0,0,1,,
@NateCAB,,,4323,0,0,0,0,0,1,,
@DepressivesAnon,,,1955,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@DeptK_Deadpool,,,54,8,0.286446,0.328441,0,,,,
@MinnieHallman2,,,54,0,0,0,0,,,,
@starry7678,,,54,0,0,0,0,0,3,,
@vestonash,,,54,8,0.287931,0.335574,241.195022,1,0,0,anti
@DeputyTeddyBear,,,1956,9,0.239429,0.260432,0,,,,
@MAL___,,,1253,0,0,0,0,,,,
@Derbaderbin,,,1957,8,0.282848,0.321183,0,,,,
@thugfruit,,,1957,0,0,0,0,,,,
@derdems,,,1958,8,0.282566,0.320773,0,,,,
@derekeb,,,73,8,0.284238,0.325812,0,,,,
@NBC,,,73,0,0,0,0,,,,
@TODAYshow,,,73,0,0,0,0,,,,
@DerekHolley,,,1899,8,0.283312,0.322733,0,1,0,0,anti
@derekindallas,,,1959,8,0.282383,0.319626,0,,,,
@DerekMDavis,,,663,8,0.284713,0.323133,0,,,,
@DerekPells,,,1960,8,0.282383,0.319626,0,1,0,5,pro
@DerekSheen,,,1961,1,1,1,0,,,,
@derekspins45s,,,1962,8,0.282383,0.319626,0,,,,
@Dereleased,,,3370,8,0.283592,0.323137,0,1,0,3,unclear/neutral
@derFluglotse,,,663,8,0.30341,0.338158,0,2,0,2,anti
@derfrankreiner,,,474,8,0.287327,0.33011,0,1,0,3,unclear/neutral
@DerickAPrince,,,1899,1,1,1,0,,,,
@derManne,,,1899,1,1,1,0,,,,
@DeRocheDennis,,,1963,1,1,1,0,1,0,3,unclear/neutral
@abc7,,,1963,0,0,0,0,0,1,,
@DerrickGhent,,,1899,8,0.285344,0.328198,2,,,,
@TheRealRapbeat,,,1899,8,0.284974,0.325925,0,,,,
@usatodayopinion,,,1899,0,0,0,0,,,,
@derrickgilrie,,,3608,8,0.286275,0.326517,0,1,0,5,pro
@Kevinatorrrrr,,,3608,0,0,0,0,0,2,,
@nabilitoz,,,3608,0,0,0,0,0,3,,
@DerrickGordon09,,,96,8,0.282933,0.322302,0,1,0,5,pro
@DerrickSlone,,,2651,9,0.241228,0.267534,0,,,,
@AlexCSinger16,,,2651,0,0,0,0,,,,
@Astrid_NV,,,2651,0,0,0,0,,,,
@johnlundin,,,2651,8,0.282566,0.320773,284.316667,,,,
@LauraKMM,,,2651,0,0,0,0,,,,
@desdelane,,,54,8,0.2846,0.326729,0,1,0,1,anti
@desert_Kim1,,,2651,9,0.255718,0.287955,0,,,,
@desicrassus,,,1964,8,0.282383,0.319626,0,,,,
@designergirla,,,1965,9,0.239429,0.260432,0,,,,
@designs_donn,,,1966,8,0.294872,0.335104,0,,,,
@HeiressMommy,,,1966,8,0.294396,0.333579,0,1,0,0,anti
@DEsInfiniteLuv,,,1967,8,0.282383,0.319626,0,1,0,1,anti
@55true4u,,,9,0,0,0,0,0,1,,
@desireekraft3,,,54,8,0.285899,0.331125,0,1,0,5,pro
@kids1627a,,,54,0,0,0,0,,,,
@desireereyes1,,,1560,9,0.223246,0.243449,0,,,,
@DesireTSmith,,,5314,8,0.298408,0.339868,0,1,0,0,anti
@therealtoseanne,,,5314,0,0,0,0,0,1,,
@desktopdiva,,,73,9,0.237741,0.263366,46.166667,2,0,3,unclear/neutral
@ABCNetworkTHEsaragilbert,,,73,0,0,0,0,,,,
@Samoday25Variety,,,73,0,0,0,0,,,,
@DesMoinesghost,,,1968,8,0.282383,0.319626,0,1,0,1,anti
@desmusmeridius,,,1969,8,0.282383,0.319626,0,,,,
@DeSotoDriver,,,1970,8,0.282383,0.319626,0,1,0,0,anti
@desperado1211,,,49,1,1,1,0,1,0,3,unclear/neutral
@ZerlinaMaxwell,,,49,0,0,0,0,0,2,,
@Desperado9025,,,1971,8,0.282383,0.319626,0,,,,
@DesperateMarlas,,,1972,1,1,1,0,,,,
@AllisonGrey,,,1972,0,0,0,0,,,,
@desstiny99,,,1973,8,0.282383,0.319626,0,,,,
@Destado1,,,1974,8,0.282383,0.319626,0,,,,
@destelle52,,,1426,8,0.288449,0.332427,0,1,0,5,pro
@RonMyers98,,,1426,0,0,0,0,0,1,,
@destrukshawn,,,1975,8,0.282383,0.319626,0,,,,
@deszirr24,,,1976,8,0.282566,0.320773,0,,,,
@Detrocker2264,,,49,9,0.232782,0.255949,0,,,,
@detroitdrumgirl,,,474,9,0.223018,0.242684,0,,,,
@DeuceTheSalty,,,1978,9,0.221212,0.239978,0,1,0,3,unclear/neutral
@Devan_in_space,,,1977,8,0.282383,0.319626,0,,,,
@DevConn5,,,4323,8,0.290473,0.330253,0,,,,
@devdev324,,,1978,8,0.298518,0.337292,0,1,2,1,anti
@Erick_O_524,,,1978,8,0.298518,0.337292,0,0,3,,
@GinnyMac55,,,1978,8,0.298518,0.337292,43.733333,1,3,3,unclear/neutral
@JoeClowers1,,,1978,8,0.298518,0.337292,0,1,2,3,unclear/neutral
@SailorDemocracy,,,1978,8,0.298518,0.337292,0,0,3,,
@DevenciaK,,,54,8,0.283409,0.322757,0,1,1,5,pro
@DevilDog978,,,1979,8,0.282848,0.321183,0,1,0,0,anti
@SimiraNB,,,1979,0,0,0,0,0,1,,
@devils_abogado,,,2010,8,0.283688,0.32316,0,1,0,3,unclear/neutral
@BetsyDeVosED,,,2010,0,0,0,0,0,1,,
@MIALizzyP,,,2010,10,0.19837,0.211957,2,0,1,,
@devilsadvocater,,,1980,8,0.282383,0.319626,0,,,,
@Devilsrivergirl,,,1981,8,0.282383,0.319626,0,,,,
@devilwoman15,,,1982,8,0.282383,0.319626,0,,,,
@Devine1424,,,1983,8,0.282383,0.319626,0,,,,
@devlyncamp,,,1984,9,0.239429,0.260432,0,,,,
@Devorah54,,,73,9,0.228512,0.248724,0,1,0,5,pro
@DevorahLeah,,,1985,1,1,1,0,1,0,5,pro
@dankennedy_nu,,,1985,0,0,0,0,,,,
@devydawson,,,1986,8,0.294197,0.332432,0,,,,
@devyn_sword,,,1987,1,1,1,0,,,,
@mercedesschlapp,,,2774,0,0,0,0,,,,
@mschlapp,,,2774,0,0,0,0,,,,
@DewDropInn222,,,1988,8,0.282383,0.319626,0,,,,
@DewittsGirl,,,49,8,0.283215,0.322709,0,,,,
@DexterDawg5,,,1989,8,0.282383,0.319626,0,,,,
@DexterSaysMeow,,,1253,9,0.262095,0.284345,0,1,0,1,anti
@AmazingDouglass,,,1253,0,0,0,0,,,,
@Grey_Obelisk,,,1253,9,0.300435,0.337427,283.183333,,,,
@dezzarray,,,474,8,0.285171,0.326349,0,,,,
@wa,,,474,0,0,0,0,,,,
@DfeatUsc,,,4323,8,0.300479,0.340934,0,2,0,1.5,anti
@katstails,,,4323,0,0,0,0,0,1,,
@dfennell2,,,1990,8,0.282383,0.319626,0,1,0,0,anti
@dfieha,,,1991,8,0.282383,0.319626,0,1,0,0,anti
@dg_gibbens,,,616,9,0.223355,0.243288,0,,,,
@Dgallant1965,,,1992,8,0.282383,0.319626,0,,,,
@DGComedy,,,1993,8,0.282383,0.319626,436,,,,
@DGLevy,,,1994,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@Dgmtexas,,,133,8,0.283679,0.323304,0,,,,
@dgreen26293993,,,174,8,0.283312,0.322733,0,1,0,0,anti
@dgt914,,,4323,8,0.294118,0.337133,0,,,,
@leejs,,,4323,0,0,0,0,,,,
@DHaines1,,,4323,8,0.290473,0.330253,0,1,0,3,unclear/neutral
@DHauschild,,,1995,8,0.282383,0.319626,0,,,,
@DHawawini,,,54,8,0.283301,0.323067,0,,,,
@dhaybass,,,1996,8,0.282383,0.319626,0,1,0,1,anti
@dhenry2314_dee,,,96,8,0.283398,0.324616,6,1,0,0,anti
@SverkGirl,,,96,8,0.282566,0.320773,0,1,1,0,anti
@Dhercher,,,1997,8,0.282383,0.319626,0,,,,
@dhiggins63,,,2774,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@dhl,,,1998,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@dhobe13,,,133,9,0.246467,0.271416,0,,,,
@dhodges73,,,54,8,0.285894,0.327145,0,,,,
@dhof60,,,1999,8,0.282383,0.319626,0,1,0,1,anti
@dhunt64817,,,2000,8,0.282383,0.319626,0,,,,
@DHW1969,,,2001,8,0.282383,0.319626,0,,,,
@diaml,,,1426,8,0.284884,0.327718,0,,,,
@therealroseanneKayaJones,,,1426,0,0,0,0,,,,
@DiamondCut2017,,,2002,8,0.282383,0.319626,0,,,,
@DiamondDaveP,,,2003,8,0.282566,0.320773,0,1,0,1,anti
@diamondgirl2020,,,345,9,0.242249,0.269898,0,,,,
@DiamondGirlL13,,,2004,8,0.282383,0.319626,0,,,,
@Diamondking84,,,1978,8,0.2847,0.326585,0,,,,
@Ima_Wink,,,1978,0,0,0,0,,,,
@ozoxanime,,,1978,0,0,0,0,,,,
@diamondoor11,,,2005,8,0.282383,0.319626,0,,,,
@dian_bristow,,,61,8,0.284326,0.325225,0,,,,
@diana_presente,,,2006,8,0.294197,0.332432,0,1,0,1,anti
@DianaBardsley,,,4323,8,0.282383,0.319626,0,0,1,,
@dianaD98654698,,,54,8,0.28315,0.321825,0,,,,
@DianaDenver1,,,663,9,0.247312,0.27377,0,,,,
@dianafireomg,,,2687,1,1,1,0,,,,
@DianaHates45,,,73,9,0.223644,0.24518,0,,,,
@DianahChilders,,,2007,8,0.282383,0.319626,0,,,,
@dianakommer,,,2008,8,0.282383,0.319626,0,,,,
@DianaMcBlue,,,54,8,0.282848,0.321183,0,,,,
@SykesCharlie,,,54,0,0,0,0,0,1,,
@DianaMiller5,,,663,8,0.29174,0.339204,0,,,,
@DerekMLacey,,,663,0,0,0,0,,,,
@JamesRabar2,,,54,8,0.292713,0.343146,42,1,0,3,unclear/neutral
@Jimmy08104646,,,663,0,0,0,0,,,,
@Diane_Sheehan,,,61,8,0.277526,0.313106,0,,,,
@wthanyway,,,61,8,0.306496,0.354143,483.869048,6,1,2.3333333333333335,anti
@diane4CommonSen,,,1560,9,0.223246,0.243449,0,,,,
@DianeAlburger,,,2009,8,0.282383,0.319626,0,,,,
@DianeAzarian,,,133,9,0.264962,0.30676,0,,,,
@Mikala007007,,,133,8,0.282848,0.321183,1,,,,
@DianeChettle,,,49,9,0.235985,0.25925,0,,,,
@therealroseannecharliekirk11,,,49,0,0,0,0,,,,
@DianeDiscerns,,,345,8,0.301172,0.34055,0,,,,
@Shy_Bohemian,,,345,0,0,0,0,,,,
@DianeGore13,,,96,9,0.246606,0.272563,0,,,,
@DianeGrossRE,,,2010,9,0.263057,0.291897,0,,,,
@buffSoldier73,,,2010,0,0,0,0,,,,
@DianeHauschildt,,,54,1,1,1,0,,,,
@DianeKnight717,,,2011,1,1,1,0,,,,
@TheButteryOne,,,2011,0,0,0,0,,,,
@DianeLong22,,,2010,8,0.284238,0.325812,0,1,0,0,anti
@DianePiette1,,,133,9,0.234661,0.258242,0,,,,
@DianeRosemond,,,54,8,0.285806,0.331506,0,1,0,3,unclear/neutral
@_Discernment_,,,54,0,0,0,0,0,1,,
@BaltimorePolice,,,54,0,0,0,0,0,1,,
@baltimoresun,,,54,0,0,0,0,0,1,,
@jellyfish2468,,,54,0,0,0,0,0,1,,
@MDMEMA,,,54,0,0,0,0,0,1,,
@wbaltv11,,,54,0,0,0,0,0,1,,
@DianeTylerSmit2,,,663,9,0.24815,0.269103,0,1,0,5,pro
@DianeWunderlich,,,2012,8,0.282383,0.319626,0,1,0,1,anti
@dianexlston,,,616,9,0.223132,0.243918,437.160309,,,,
@diannantexas,,,1978,8,0.296622,0.331253,0,,,,
@DiannaWentz,,,73,8,0.283301,0.323067,0,,,,
@dianne_hornick,,,2010,1,1,1,0,1,0,0,anti
@dianneaffolder,,,2013,8,0.282383,0.319626,0,1,0,1,anti
@DianneBostic1,,,96,8,0.287402,0.331866,0,,,,
@DianneM65725926,,,61,1,1,1,0,,,,
@adamsavage3,,,61,0,0,0,0,,,,
@ChristiAnne67,,,61,0,0,0,0,,,,
@facebook,,,61,0,0,0,0,,,,
@hackenslash2,,,61,0,0,0,0,,,,
@JoSantisteban,,,61,0,0,0,0,,,,
@VISITFLORIDA,,,61,0,0,0,0,,,,
@diannev6,,,2014,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@DiariesSurvivor,,,2015,8,0.282383,0.319626,0,,,,
@DiazIronDragon,,,2016,8,0.282383,0.319626,0,,,,
@dibassetto,,,2017,8,0.282848,0.321183,0,,,,
@farhip,,,2017,8,0.282383,0.319626,0,,,,
@DiBuch65,,,3112,9,0.223873,0.246706,0,,,,
@DickAllen3,,,2018,8,0.282383,0.319626,0,1,0,1,anti
@DickPumpaloaf,,,3370,8,0.287356,0.327497,1,0,1,,
@jamesspider4,,,3370,8,0.287356,0.327497,0,1,0,3,unclear/neutral
@dickydesai,,,54,9,0.232398,0.250581,0,,,,
@dickytrope,,,1253,8,0.282848,0.321183,0,,,,
@MikeTokes,,,1253,0,0,0,0,,,,
@DickZenormous,,,2019,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@aruthbovin,,,2687,0,0,0,0,,,,
@didanen,,,49,9,0.222222,0.240728,0,,,,
@didi84pr,,,49,10,0.182684,0.198982,0,1,0,3,unclear/neutral
@IamRoyalOcean1,,,49,0,0,0,0,0,1,,
@Plantflowes,,,49,0,0,0,0,0,1,,
@DidiDavor,,,2020,8,0.282383,0.319626,0,,,,
@Die__Trying_,,,49,2,0.666667,0.75,0,,,,
@MarkHarrisNYC,,,49,1,1,1,8,0,1,,
@dieb1948,,,4039,8,0.28968,0.329263,0,2,0,2,anti
@dieCG,,,2774,8,0.284047,0.325587,0,,,,
@DieFreeor,,,345,2,0.6,0.666667,0,1,0,0,anti
@diehard62,,,174,8,0.283312,0.322733,0,,,,
@digger789,,,616,2,0.666667,0.75,0,,,,
@DigiCarla,,,2021,8,0.282383,0.319626,0,,,,
@Digidiva2018,,,4039,9,0.221382,0.24114,0,,,,
@sandersdmt,,,4039,0,0,0,0,,,,
@digiphile,,,96,1,1,1,0,1,0,0,anti
@realRoseanneBarr,,,96,0,0,0,0,0,1,,
@Digital_Ass,,,49,10,0.198096,0.211298,0,,,,
@DigitalKitty19,,,2022,8,0.282383,0.319626,0,1,0,1,anti
@DiHodd,,,474,8,0.283215,0.322709,0,1,0,0,anti
@Diibs9,,,345,9,0.253783,0.277281,0,,,,
@dijit23,,,3531,8,0.282383,0.319626,0,0,1,,
@dijoni,,,9,10,0.199734,0.219328,0,,,,
@thinkprogr,,,9,0,0,0,0,,,,
@dikell3,,,2010,8,0.283959,0.323706,0,,,,
@ShelleyCara,,,2010,8,0.283495,0.323875,2.5,1,0,1,anti
@DileepMakkuni,,,6886,8,0.282848,0.321183,0,,,,
@DILLIGAF_not,,,4323,8,0.282383,0.319626,0,1,1,3,unclear/neutral
@DillonMcCabe,,,474,8,0.28488,0.328642,0,,,,
@Lauralovely3,,,474,0,0,0,0,,,,
@tomhanks,,,474,0,0,0,0,,,,
@wwl173,,,474,0,0,0,0,0,1,,
@dimm_wit,,,49,9,0.223805,0.244076,0,,,,
@Dina01371751,,,2023,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@DinaEllithorpe,,,345,1,1,1,0,,,,
@Dingodog,,,2010,8,0.284887,0.325863,0,,,,
@Newyorker2212,,,2010,0,0,0,0,,,,
@dinjarie,,,9,8,0.290861,0.326444,0,,,,
@DinnaFash838,,,4039,8,0.314162,0.353021,216.917857,0,1,,
@catsim7,,,4039,0,0,0,0,,,,
@fIatcat65,,,2651,0,0,0,0,0,2,,
@flinnie,,,2651,0,0,0,0,,,,
@KateHydeNY,,,2651,0,0,0,0,0,2,,
@Dinunziosm1,,,1560,9,0.223246,0.243449,0,,,,
@DiOrio1962,,,4323,8,0.296321,0.338842,0,1,0,0,anti
@diosoth,,,49,8,0.282848,0.321183,0,2,0,2,anti
@DirkDig91130766,,,2024,1,1,1,0,1,0,0,anti
@WilDonnelly,,,2024,0,0,0,0,0,1,,
@dirtbaron,,,2025,1,1,1,0,1,0,1,anti
@dirtladyfla,,,2026,0,0,0,0,,,,
@DirtyRay333,,,2027,8,0.282383,0.319626,0,,,,
@DisabledVetsCPX,,,345,8,0.306652,0.341993,18.4,1,1,3,unclear/neutral
@disasterpastor,,,49,1,1,1,0,,,,
@discolives4ever,,,2028,1,1,1,0,,,,
@Rosiea,,,2028,0,0,0,0,,,,
@DiscourseGlobal,,,2029,8,0.282383,0.319626,0,,,,
@disgusted2,,,786,8,0.284039,0.323373,0,1,0,0,anti
@Disgusted50,,,2030,8,0.282383,0.319626,0,1,0,1,anti
@Dish528,,,2031,9,0.239429,0.260432,0,1,0,0,anti
@diskokitty76,,,474,8,0.28275,0.321156,0,,,,
@disney_vodka,,,2032,8,0.282383,0.319626,0,1,0,5,pro
@DisneyCapeCod,,,2033,1,1,1,0,1,0,3,unclear/neutral
@ShowcaseWishes,,,2033,0,0,0,0,1,1,5,pro
@DisneyFamJam,,,5962,8,0.292135,0.340964,21.033333,,,,
@ChicoDelainky,,,5962,0,0,0,0,,,,
@luvforartt12060,,,4039,8,0.282848,0.321183,2,1,0,0,anti
@DisneyGirl18,,,2034,1,1,1,0,,,,
@DiSo56,,,4323,8,0.29661,0.33954,0,1,0,3,unclear/neutral
@signal26,,,663,8,0.285988,0.324587,463.666667,0,1,,
@dispensaryexch,,,54,8,0.283301,0.323067,0,,,,
@distant_angel,,,2035,8,0.298426,0.34046,0,1,0,1,anti
@disTURBULENCE,,,2036,8,0.282566,0.320773,0,,,,
@Ditch_Donkey,,,2037,8,0.282383,0.319626,0,1,0,1,anti
@Ditzy_horse,,,54,8,0.283301,0.323067,0,,,,
@divacdiva,,,2038,8,0.282383,0.319626,0,1,0,1,anti
@DivaJWright,,,4323,8,0.290473,0.330253,0,,,,
@Divanista96,,,2039,8,0.282383,0.319626,0,,,,
@Balind8,,,9,0,0,0,0,,,,
@Barac,,,9,0,0,0,0,,,,
@Jamierodr10,,,9,1,1,1,43.033333,0,4,,
@muddybuttbrew,,,9,0,0,0,0,,,,
@trump__strong,,,9,0,0,0,0,,,,
@DividendMaster,,,345,1,1,1,1,,,,
@divinemissq,,,2040,8,0.282383,0.319626,0,,,,
@Division_Wars,,,133,8,0.292539,0.337264,0,,,,
@1Kimsey,,,133,0,0,0,0,,,,
@Division1Yankee,,,2774,8,0.283679,0.325016,51.3,0,1,,
@hudsonmyway,,,2774,0,0,0,0,,,,
@Divorcee_Jesus,,,49,9,0.233759,0.260464,0,,,,
@AliVelshi,,,49,0,0,0,0,,,,
@LastManFOX,,,49,0,0,0,0,,,,
@dixie70056,,,2041,9,0.239429,0.260432,0,1,0,1,anti
@DizMom5,,,474,1,1,1,0,1,0,0,anti
@dizwire,,,3112,9,0.222558,0.24629,0,,,,
@JayeBBea,,,3112,0,0,0,0,0,1,,
@Marrrrcussss,,,3112,2,0.666667,0.75,3,1,1,1,anti
@PhilDaTrainer,,,3112,0,0,0,0,,,,
@Randomguy1017,,,3112,0,0,0,0,0,1,,
@DJ__Seph,,,345,8,0.28275,0.321156,0,,,,
@dj_diabeatic,,,1899,10,0.184276,0.198761,0,,,,
@shadowandact,,,1899,9,0.224885,0.248361,447.5,,,,
@dj_ewi,,,2042,8,0.282848,0.321183,0,,,,
@EtTuCarl,,,2042,0,0,0,0,,,,
@dj_yatta,,,2043,9,0.246328,0.270269,0,,,,
@DJ2779,,,133,9,0.221382,0.240191,0,,,,
@Dj38L,,,174,8,0.283775,0.324276,0,1,0,3,unclear/neutral
@SAskew49,,,174,0,0,0,0,0,1,,
@DJ3book,,,96,8,0.286745,0.329193,0,,,,
@Djackso1492,,,2090,8,0.282383,0.319626,0,,,,
@djalilov_ismail,,,474,9,0.223246,0.244213,0,,,,
@djanechristy,,,174,8,0.284244,0.32396,0,1,0,1,anti
@kennyscott1952,,,174,10,0.198096,0.211298,1,0,1,,
@djangostone,,,2044,8,0.282383,0.319626,0,1,0,3,unclear/neutral
@djanko112,,,4323,8,0.285808,0.327438,0,,,,
@jbren10033,,,4323,8,0.282383,0.319626,0,0,1,,
@DJBig6,,,2010,2,0.666667,0.75,0,,,,
@Djclassicz,,,2045,8,0.282383,0.319626,0,,,,
@DJDaddi01,,,9,1,1,1,0,1,0,1,anti
@DJDan888,,,73,8,0.285256,0.328143,0,1,0,1,anti
@Ed17447,,,73,0,0,0,0,0,2,,
@michael33148165,,,73,0,0,0,0,,,,
@DJDole,,,2046,8,0.282383,0.319626,0,,,,
@djdoug4ever,,,96,9,0.24022,0.265019,0,1,0,5,pro
@DJDrake13,,,2047,9,0.246328,0.270269,0,,,,
@DJFlatbush,,,49,8,0.283312,0.321782,0,,,,
@djfreeley,,,2048,8,0.283312,0.322733,0,1,0,0,anti
@ezralevant,,,2048,0,0,0,0,0,2,,
@kimmsiebee,,,2048,0,0,0,0,0,1,,
@djFuego_1,,,2049,8,0.282383,0.319626,0,1,0,1,anti
@djgirl40,,,1560,9,0.223246,0.243449,0,,,,
@DjinnAndTonic_,,,345,8,0.30069,0.339037,0,,,,
@DJLanceMatthew,,,2010,1,1,1,0,,,,
@DJLBOOGIE832,,,2050,8,0.282383,0.319626,0,1,0,1,anti
